Open,High,Low,Close,Adj Close,Volume,Name,Return,Up,Down,avg_14up,avg_14down,RS_14,RSI,EWMA_up,EWMA_down,12Ewm,26Ewm,MACD,low_14,high_14,k_percent,r_percent,ROC,Target
35.43000030517578,35.4900016784668,35.11000061035156,35.2599983215332,28.952125549316406,21524700,INTC,0.10999679565429688,0.10999679565429688,0.0,0.11499949863978744,0.27785682678222606,0.41388041449821855,29.27266056267591,-0.2296631093893536,-0.2296631093893536,36.454514468776146,36.99733593249848,-0.5428214637223334,34.810001373291016,38.36000061035156,12.675973097244714,-87.32402690275529,-0.05393083207788818,1.0
35.13999938964844,35.25,35.0099983215332,35.099998474121094,28.82075881958008,17860300,INTC,-0.15999984741210938,0.0,0.15999984741210938,0.08285658700125507,0.2892853873116624,0.28641815534218223,22.26477869211945,-0.2193276326976337,-0.2193276326976337,36.24612739267537,36.85679241706312,-0.6106650243877496,34.810001373291016,38.36000061035156,8.168934173354925,-91.83106582664507,-0.05467283963364522,-1.0
35.040000915527344,35.209999084472656,34.7400016784668,34.91999816894531,28.672956466674805,19977600,INTC,-0.18000030517578125,0.0,0.18000030517578125,0.07714244297572494,0.3021425519670754,0.25531803605117886,20.338912428465235,-0.21357929539092402,-0.21357929539092402,36.04210751210151,36.713326176461806,-0.6712186643602962,34.7400016784668,38.36000061035156,4.972280209618731,-95.02771979038127,-0.05545044587690773,-1.0
35.099998474121094,35.22999954223633,34.75,34.810001373291016,28.5826416015625,14634700,INTC,-0.10999679565429688,0.0,0.10999679565429688,0.07499967302594866,0.3099994659423823,0.24193484591321324,19.48047811922976,-0.19863084110130189,-0.19863084110130189,35.85255272151528,36.57233915400471,-0.7197864324894283,34.7400016784668,38.36000061035156,1.9336937977430053,-98.066306202257,-0.07049397425542869,-1.0
34.869998931884766,35.16999816894531,34.709999084472656,34.7400016784668,28.525161743164062,22296400,INTC,-0.06999969482421875,0.0,0.06999969482421875,0.07499967302594866,0.3092853001185826,0.24249349386211747,19.516681178616096,-0.18026913699648633,-0.18026913699648633,35.68139102258475,36.43661045211301,-0.7552194295282604,34.709999084472656,38.04999923706055,0.8982812162716246,-99.10171878372837,-0.06838292235060639,-1.0
34.91999816894531,35.08000183105469,34.84000015258789,34.869998931884766,28.631898880004883,19188600,INTC,0.12999725341796875,0.12999725341796875,0.0,0.08428519112723214,0.255713871547154,0.3296074265243363,24.7898304378419,-0.1363925924298065,-0.1363925924298065,35.55656147016936,36.320565154318324,-0.7640036841489604,34.709999084472656,38.04999923706055,4.79041437432686,-95.20958562567314,-0.07629141902292014,1.0
34.900001525878906,35.15999984741211,34.27000045776367,34.52000045776367,28.344518661499023,25368200,INTC,-0.34999847412109375,0.0,0.34999847412109375,0.08428519112723214,0.27071380615234375,0.31134426546313926,23.742374421653423,-0.1663576326916427,-0.1663576326916427,35.39709054518387,36.18718999161057,-0.7900994464267015,34.27000045776367,38.04999923706055,6.613758749586236,-93.38624125041376,-0.02787941173089825,-1.0
34.599998474121094,34.900001525878906,34.470001220703125,34.599998474121094,28.41020774841309,21416400,INTC,0.07999801635742188,0.07999801635742188,0.0,0.08999933515276227,0.2592852456229074,0.34710550126578815,25.766764439729144,-0.13203687293726316,-0.13203687293726316,35.274460995789596,36.06962024957432,-0.7951592537847247,34.27000045776367,38.04999923706055,8.730109072120005,-91.26989092788,-0.023426526218049082,1.0
34.45000076293945,34.52000045776367,33.869998931884766,33.93000030517578,28.071006774902344,19400000,INTC,-0.6699981689453125,0.0,0.6699981689453125,0.055713653564453125,0.3071422576904297,0.1813936447019518,15.354208609080061,-0.20653679515033552,-0.20653679515033552,35.06762088954132,35.91112988332258,-0.8435089937812634,33.869998931884766,38.04999923706055,1.4354394476172745,-98.56456055238273,-0.0347084258248157,-1.0
33.529998779296875,33.93000030517578,33.41999816894531,33.61000061035156,27.806257247924805,21914700,INTC,-0.31999969482421875,0.0,0.31999969482421875,0.055713653564453125,0.31857081821986605,0.17488624311471485,14.885376702605512,-0.2221692357259019,-0.2221692357259019,34.84337161581982,35.7406758631025,-0.8973042472826833,33.41999816894531,38.04999923706055,4.103723489713914,-95.89627651028609,-0.046795172709182764,-1.0
34.2400016784668,34.75,34.150001525878906,34.689998626708984,28.69976043701172,19296600,INTC,1.0799980163574219,1.0799980163574219,0.0,0.0999992915562221,0.31857081821986605,0.3138997228779637,23.890691002689167,-0.043555597825258835,-0.043555597825258835,34.81977577134123,35.66284791966594,-0.8430721483247154,33.41999816894531,36.09000015258789,47.56552487766547,-52.43447512233453,-0.011680907841474686,1.0
34.599998474121094,34.95000076293945,34.4900016784668,34.7400016784668,28.741138458251957,14833100,INTC,0.0500030517578125,0.0500030517578125,0.0,0.10357093811035156,0.1585706983293806,0.6531530680101794,39.509533669277715,-0.030771494281357597,-0.030771494281357597,34.80750283397593,35.59448893883638,-0.7869861048604463,33.41999816894531,35.66999816894531,58.66682264539931,-41.33317735460069,-0.00515453894377893,1.0
34.130001068115234,34.849998474121094,33.66999816894531,34.75,28.749408721923828,25999400,INTC,0.009998321533203125,0.009998321533203125,0.0,0.10428510393415179,0.15285655430385045,0.6822416245681711,40.55550728292682,-0.025218973006759845,-0.025218973006759845,34.79865624413348,35.531934202626275,-0.733277958492792,33.41999816894531,35.4900016784668,64.2511872534042,-35.7488127465958,-0.0017236820144757026,1.0
